id,tweet_id,time,count,accu_count,exposed_user_count
212555162,535826771783192600,2014-11-21 11:07:12-05,37382,37382,62576996
212555163,535826771783192600,2014-11-21 11:37:12-05,4621,42003,7183087
212555164,535826771783192600,2014-11-21 12:07:12-05,2705,44708,5128721
212555165,535826771783192600,2014-11-21 12:37:12-05,1778,46486,2627148
212555166,535826771783192600,2014-11-21 13:07:12-05,1122,47608,1714212
212555167,535826771783192600,2014-11-21 13:37:12-05,946,48554,1691002
212555168,535826771783192600,2014-11-21 14:07:12-05,768,49322,1219722
212555169,535826771783192600,2014-11-21 14:37:12-05,852,50174,1408223
212555170,535826771783192600,2014-11-21 15:07:12-05,741,50915,1166432
212555171,535826771783192600,2014-11-21 15:37:12-05,686,51601,1364281
212555172,535826771783192600,2014-11-21 16:07:12-05,643,52244,920328
212555173,535826771783192600,2014-11-21 16:37:12-05,634,52878,1215430
212555174,535826771783192600,2014-11-21 17:07:12-05,544,53422,949433
212555175,535826771783192600,2014-11-21 17:37:12-05,441,53863,614485
212555176,535826771783192600,2014-11-21 18:07:12-05,405,54268,706393
212555177,535826771783192600,2014-11-21 18:37:12-05,311,54579,451355
212555178,535826771783192600,2014-11-21 19:07:12-05,225,54804,366614
212555179,535826771783192600,2014-11-21 19:37:12-05,245,55049,416000
212555180,535826771783192600,2014-11-21 20:07:12-05,178,55227,159526
212555181,535826771783192600,2014-11-21 20:37:12-05,177,55404,244056
212555182,535826771783192600,2014-11-21 21:07:12-05,152,55556,245245
212555183,535826771783192600,2014-11-21 21:37:12-05,146,55702,197159
212555184,535826771783192600,2014-11-21 22:07:12-05,154,55856,260364
212555185,535826771783192600,2014-11-21 22:37:12-05,125,55981,162790
212555186,535826771783192600,2014-11-21 23:07:12-05,108,56089,120684
212555187,535826771783192600,2014-11-21 23:37:12-05,89,56178,406238
212555188,535826771783192600,2014-11-22 00:07:12-05,76,56254,90319
212555189,535826771783192600,2014-11-22 00:37:12-05,73,56327,143728
212555190,535826771783192600,2014-11-22 01:07:12-05,64,56391,85857
212555191,535826771783192600,2014-11-22 01:37:12-05,85,56476,105376
212555192,535826771783192600,2014-11-22 02:07:12-05,67,56543,69836
212555193,535826771783192600,2014-11-22 02:37:12-05,68,56611,71369
212555194,535826771783192600,2014-11-22 03:07:12-05,66,56677,140639
212555195,535826771783192600,2014-11-22 03:37:12-05,57,56734,82650
212555196,535826771783192600,2014-11-22 04:07:12-05,61,56795,56152
212555197,535826771783192600,2014-11-22 04:37:12-05,64,56859,63368
212555198,535826771783192600,2014-11-22 05:07:12-05,75,56934,99656
212555199,535826771783192600,2014-11-22 05:37:12-05,51,56985,73742
212555200,535826771783192600,2014-11-22 06:07:12-05,53,57038,58002
212555201,535826771783192600,2014-11-22 06:37:12-05,48,57086,306020
212555202,535826771783192600,2014-11-22 07:07:12-05,62,57148,71857
212555203,535826771783192600,2014-11-22 07:37:12-05,68,57216,104989
212555204,535826771783192600,2014-11-22 08:07:12-05,59,57275,80747
212555205,535826771783192600,2014-11-22 08:37:12-05,71,57346,89093
212555206,535826771783192600,2014-11-22 09:07:12-05,69,57415,82173
212555207,535826771783192600,2014-11-22 09:37:12-05,56,57471,65273
212555208,535826771783192600,2014-11-22 10:07:12-05,69,57540,96510
212555209,535826771783192600,2014-11-22 10:37:12-05,72,57612,83415
212555210,535826771783192600,2014-11-22 11:07:12-05,68,57680,109142
212555211,535826771783192600,2014-11-22 11:37:12-05,49,57729,70285
212555212,535826771783192600,2014-11-22 12:07:12-05,54,57783,63585
212555213,535826771783192600,2014-11-22 12:37:12-05,40,57823,47354
212555214,535826771783192600,2014-11-22 13:07:12-05,54,57877,59434
212555215,535826771783192600,2014-11-22 13:37:12-05,46,57923,73261
212555216,535826771783192600,2014-11-22 14:07:12-05,52,57975,86690
212555217,535826771783192600,2014-11-22 14:37:12-05,38,58013,50512
212555218,535826771783192600,2014-11-22 15:07:12-05,40,58053,43766
212555219,535826771783192600,2014-11-22 15:37:12-05,35,58088,32662
212555220,535826771783192600,2014-11-22 16:07:12-05,32,58120,34478
212555221,535826771783192600,2014-11-22 16:37:12-05,30,58150,34134
212555222,535826771783192600,2014-11-22 17:07:12-05,27,58177,43275
212555223,535826771783192600,2014-11-22 17:37:12-05,34,58211,61822
212555224,535826771783192600,2014-11-22 18:07:12-05,29,58240,22878
212555225,535826771783192600,2014-11-22 18:37:12-05,27,58267,56607
212555226,535826771783192600,2014-11-22 19:07:12-05,31,58298,43041
212555227,535826771783192600,2014-11-22 19:37:12-05,21,58319,36465
212555228,535826771783192600,2014-11-22 20:07:12-05,25,58344,33756
212555229,535826771783192600,2014-11-22 20:37:12-05,22,58366,40253
212555230,535826771783192600,2014-11-22 21:07:12-05,23,58389,45114
212555231,535826771783192600,2014-11-22 21:37:12-05,22,58411,42518
212555232,535826771783192600,2014-11-22 22:07:12-05,23,58434,41201
212555233,535826771783192600,2014-11-22 22:37:12-05,15,58449,21925
212555234,535826771783192600,2014-11-22 23:07:12-05,18,58467,32186
212555235,535826771783192600,2014-11-22 23:37:12-05,11,58478,7975
212555236,535826771783192600,2014-11-23 00:07:12-05,14,58492,9158
212555237,535826771783192600,2014-11-23 00:37:12-05,15,58507,26244
212555238,535826771783192600,2014-11-23 01:07:12-05,7,58514,5603
212555239,535826771783192600,2014-11-23 01:37:12-05,18,58532,14437
212555240,535826771783192600,2014-11-23 02:07:12-05,15,58547,10463
212555241,535826771783192600,2014-11-23 02:37:12-05,12,58559,22067
212555242,535826771783192600,2014-11-23 03:07:12-05,15,58574,28661
212555243,535826771783192600,2014-11-23 03:37:12-05,9,58583,4512
212555244,535826771783192600,2014-11-23 04:07:12-05,21,58604,14989
212555245,535826771783192600,2014-11-23 04:37:12-05,15,58619,9456
212555246,535826771783192600,2014-11-23 05:07:12-05,24,58643,17064
212555247,535826771783192600,2014-11-23 05:37:12-05,18,58661,35499
212555248,535826771783192600,2014-11-23 06:07:12-05,19,58680,27111
212555249,535826771783192600,2014-11-23 06:37:12-05,28,58708,19598
212555250,535826771783192600,2014-11-23 07:07:12-05,10,58718,9103
212555251,535826771783192600,2014-11-23 07:37:12-05,23,58741,35914
212555252,535826771783192600,2014-11-23 08:07:12-05,15,58756,26249
212555253,535826771783192600,2014-11-23 08:37:12-05,25,58781,12064
212555254,535826771783192600,2014-11-23 09:07:12-05,28,58809,41103
212555255,535826771783192600,2014-11-23 09:37:12-05,21,58830,82902
212555256,535826771783192600,2014-11-23 10:07:12-05,18,58848,16415
212555257,535826771783192600,2014-11-23 10:37:12-05,30,58878,48243
212555258,535826771783192600,2014-11-23 11:07:12-05,30,58908,23712
212555259,535826771783192600,2014-11-23 11:37:12-05,26,58934,23076
212555260,535826771783192600,2014-11-23 12:07:12-05,18,58952,17328
212555261,535826771783192600,2014-11-23 12:37:12-05,10,58962,6634
212555262,535826771783192600,2014-11-23 13:07:12-05,17,58979,29098
212555263,535826771783192600,2014-11-23 13:37:12-05,27,59006,50467
212555264,535826771783192600,2014-11-23 14:07:12-05,19,59025,17163
212555265,535826771783192600,2014-11-23 14:37:12-05,22,59047,36290
212555266,535826771783192600,2014-11-23 15:07:12-05,26,59073,42937
212555267,535826771783192600,2014-11-23 15:37:12-05,19,59092,18533
212555268,535826771783192600,2014-11-23 16:07:12-05,13,59105,23322
212555269,535826771783192600,2014-11-23 16:37:12-05,16,59121,26325
212555270,535826771783192600,2014-11-23 17:07:12-05,11,59132,10482
212555271,535826771783192600,2014-11-23 17:37:12-05,14,59146,7509
212555272,535826771783192600,2014-11-23 18:07:12-05,13,59159,10175
212555273,535826771783192600,2014-11-23 18:37:12-05,13,59172,37304
212555274,535826771783192600,2014-11-23 19:07:12-05,17,59189,11774
212555275,535826771783192600,2014-11-23 19:37:12-05,6,59195,14471
212555276,535826771783192600,2014-11-23 20:07:12-05,8,59203,5286
212555277,535826771783192600,2014-11-23 20:37:12-05,8,59211,4848
212555278,535826771783192600,2014-11-23 21:07:12-05,7,59218,10428
212555279,535826771783192600,2014-11-23 21:37:12-05,10,59228,7474
212555280,535826771783192600,2014-11-23 22:07:12-05,8,59236,3694
212555281,535826771783192600,2014-11-23 22:37:12-05,17,59253,14436
212555282,535826771783192600,2014-11-23 23:07:12-05,11,59264,24721
212555283,535826771783192600,2014-11-23 23:37:12-05,17,59281,43317
212555284,535826771783192600,2014-11-24 00:07:12-05,6,59287,5886
212555285,535826771783192600,2014-11-24 00:37:12-05,15,59302,28412
212555286,535826771783192600,2014-11-24 01:07:12-05,12,59314,5883
212555287,535826771783192600,2014-11-24 01:37:12-05,6,59320,3690
212555288,535826771783192600,2014-11-24 02:07:12-05,9,59329,7150
212555289,535826771783192600,2014-11-24 02:37:12-05,7,59336,1193
212555290,535826771783192600,2014-11-24 03:07:12-05,7,59343,4077
212555291,535826771783192600,2014-11-24 03:37:12-05,2,59345,4623
212555292,535826771783192600,2014-11-24 04:07:12-05,4,59349,4301
212555293,535826771783192600,2014-11-24 04:37:12-05,6,59355,12039
212555294,535826771783192600,2014-11-24 05:07:12-05,7,59362,17259
212555295,535826771783192600,2014-11-24 05:37:12-05,4,59366,2399
212555296,535826771783192600,2014-11-24 06:07:12-05,7,59373,7911
212555297,535826771783192600,2014-11-24 06:37:12-05,3,59376,3197
212555298,535826771783192600,2014-11-24 07:07:12-05,5,59381,1726
212555299,535826771783192600,2014-11-24 07:37:12-05,7,59388,17069
212555300,535826771783192600,2014-11-24 08:07:12-05,5,59393,2812
212555301,535826771783192600,2014-11-24 08:37:12-05,6,59399,7973
212555302,535826771783192600,2014-11-24 09:07:12-05,6,59405,21148
212555303,535826771783192600,2014-11-24 09:37:12-05,9,59414,14579
212555304,535826771783192600,2014-11-24 10:07:12-05,11,59425,15241
212555305,535826771783192600,2014-11-24 10:37:12-05,5,59430,6559
212555306,535826771783192600,2014-11-24 11:07:12-05,10,59440,7939
212555307,535826771783192600,2014-11-24 11:37:12-05,21,59461,38838
212555308,535826771783192600,2014-11-24 12:07:12-05,10,59471,7808
212555309,535826771783192600,2014-11-24 12:37:12-05,7,59478,4299
212555310,535826771783192600,2014-11-24 13:07:12-05,7,59485,8290
212555311,535826771783192600,2014-11-24 13:37:12-05,6,59491,22295
212555312,535826771783192600,2014-11-24 14:07:12-05,4,59495,1163
212555313,535826771783192600,2014-11-24 14:37:12-05,7,59502,9252
212555314,535826771783192600,2014-11-24 15:07:12-05,3,59505,2160
212555315,535826771783192600,2014-11-24 15:37:12-05,5,59510,1598
212555316,535826771783192600,2014-11-24 16:07:12-05,9,59519,5597
212555317,535826771783192600,2014-11-24 16:37:12-05,6,59525,8088
212555318,535826771783192600,2014-11-24 17:07:12-05,10,59535,8020
212555319,535826771783192600,2014-11-24 17:37:12-05,5,59540,3631
212555320,535826771783192600,2014-11-24 18:07:12-05,4,59544,12068
212555321,535826771783192600,2014-11-24 18:37:12-05,8,59552,27586
212555322,535826771783192600,2014-11-24 19:07:12-05,3,59555,3605
212555323,535826771783192600,2014-11-24 19:37:12-05,3,59558,8793
212555324,535826771783192600,2014-11-24 20:07:12-05,6,59564,2864
212555325,535826771783192600,2014-11-24 20:37:12-05,1,59565,235
212555326,535826771783192600,2014-11-24 21:07:12-05,4,59569,436
212555327,535826771783192600,2014-11-24 21:37:12-05,4,59573,4231
212555328,535826771783192600,2014-11-24 22:07:12-05,7,59580,7260
212555329,535826771783192600,2014-11-24 22:37:12-05,5,59585,4446
212555330,535826771783192600,2014-11-24 23:07:12-05,3,59588,13471
212555331,535826771783192600,2014-11-24 23:37:12-05,0,59588,0
212555332,535826771783192600,2014-11-25 00:07:12-05,1,59589,1439
212555333,535826771783192600,2014-11-25 00:37:12-05,1,59590,1030
212555334,535826771783192600,2014-11-25 01:07:12-05,1,59591,282
212555335,535826771783192600,2014-11-25 01:37:12-05,2,59593,796
212555336,535826771783192600,2014-11-25 02:07:12-05,1,59594,4074
212555337,535826771783192600,2014-11-25 02:37:12-05,0,59594,0
212555338,535826771783192600,2014-11-25 03:07:12-05,1,59595,10209
212555339,535826771783192600,2014-11-25 03:37:12-05,0,59595,0
212555340,535826771783192600,2014-11-25 04:07:12-05,0,59595,0
212555341,535826771783192600,2014-11-25 04:37:12-05,3,59598,1840
212555342,535826771783192600,2014-11-25 05:07:12-05,2,59600,1021
212555343,535826771783192600,2014-11-25 05:37:12-05,2,59602,2012
212555344,535826771783192600,2014-11-25 06:07:12-05,2,59604,3641
212555345,535826771783192600,2014-11-25 06:37:12-05,5,59609,2135
212555346,535826771783192600,2014-11-25 07:07:12-05,1,59610,118
212555347,535826771783192600,2014-11-25 07:37:12-05,1,59611,50
212555348,535826771783192600,2014-11-25 08:07:12-05,6,59617,5900
212555349,535826771783192600,2014-11-25 08:37:12-05,4,59621,4290
212555350,535826771783192600,2014-11-25 09:07:12-05,2,59623,1715
212555351,535826771783192600,2014-11-25 09:37:12-05,2,59625,82
212555352,535826771783192600,2014-11-25 10:07:12-05,2,59627,967
212555353,535826771783192600,2014-11-25 10:37:12-05,4,59631,2259
212555354,535826771783192600,2014-11-25 11:07:12-05,4,59635,1434
212555355,535826771783192600,2014-11-25 11:37:12-05,10,59645,18613
212555356,535826771783192600,2014-11-25 12:07:12-05,4,59649,3109
212555357,535826771783192600,2014-11-25 12:37:12-05,4,59653,982
212555358,535826771783192600,2014-11-25 13:07:12-05,7,59660,6991
212555359,535826771783192600,2014-11-25 13:37:12-05,4,59664,1985
212555360,535826771783192600,2014-11-25 14:07:12-05,3,59667,2482
212555361,535826771783192600,2014-11-25 14:37:12-05,4,59671,1495
212555362,535826771783192600,2014-11-25 15:07:12-05,7,59678,19828
212555363,535826771783192600,2014-11-25 15:37:12-05,7,59685,6920
212555364,535826771783192600,2014-11-25 16:07:12-05,2,59687,2458
212555365,535826771783192600,2014-11-25 16:37:12-05,1,59688,1219
212555366,535826771783192600,2014-11-25 17:07:12-05,1,59689,14207
212555367,535826771783192600,2014-11-25 17:37:12-05,2,59691,1427
212555368,535826771783192600,2014-11-25 18:07:12-05,1,59692,828
212555369,535826771783192600,2014-11-25 18:37:12-05,3,59695,3012
212555370,535826771783192600,2014-11-25 19:07:12-05,0,59695,0
212555371,535826771783192600,2014-11-25 19:37:12-05,2,59697,4792
212555372,535826771783192600,2014-11-25 20:07:12-05,3,59700,3208
212555373,535826771783192600,2014-11-25 20:37:12-05,1,59701,32
212555374,535826771783192600,2014-11-25 21:07:12-05,2,59703,44967
212555375,535826771783192600,2014-11-25 21:37:12-05,3,59706,836
212555376,535826771783192600,2014-11-25 22:07:12-05,3,59709,2900
212555377,535826771783192600,2014-11-25 22:37:12-05,0,59709,0
212555378,535826771783192600,2014-11-25 23:07:12-05,1,59710,3644
212555379,535826771783192600,2014-11-25 23:37:12-05,1,59711,439
212555380,535826771783192600,2014-11-26 00:07:12-05,1,59712,175
212555381,535826771783192600,2014-11-26 00:37:12-05,1,59713,238
212555382,535826771783192600,2014-11-26 01:07:12-05,3,59716,299
212555383,535826771783192600,2014-11-26 01:37:12-05,2,59718,81
212555384,535826771783192600,2014-11-26 02:07:12-05,0,59718,0
212555385,535826771783192600,2014-11-26 02:37:12-05,4,59722,1864
212555386,535826771783192600,2014-11-26 03:07:12-05,0,59722,0
212555387,535826771783192600,2014-11-26 03:37:12-05,1,59723,233
212555388,535826771783192600,2014-11-26 04:07:12-05,1,59724,153
212555389,535826771783192600,2014-11-26 04:37:12-05,1,59725,2015
212555390,535826771783192600,2014-11-26 05:07:12-05,2,59727,667
212555391,535826771783192600,2014-11-26 05:37:12-05,0,59727,0
212555392,535826771783192600,2014-11-26 06:07:12-05,4,59731,5220
212555393,535826771783192600,2014-11-26 06:37:12-05,1,59732,991
212555394,535826771783192600,2014-11-26 07:07:12-05,2,59734,1922
212555395,535826771783192600,2014-11-26 07:37:12-05,1,59735,48
212555396,535826771783192600,2014-11-26 08:07:12-05,1,59736,3176
212555397,535826771783192600,2014-11-26 08:37:12-05,1,59737,244
212555398,535826771783192600,2014-11-26 09:07:12-05,2,59739,2109
212555399,535826771783192600,2014-11-26 09:37:12-05,2,59741,305
212555400,535826771783192600,2014-11-26 10:07:12-05,2,59743,20
212555401,535826771783192600,2014-11-26 10:37:12-05,6,59749,2145
212555402,535826771783192600,2014-11-26 11:07:12-05,0,59749,0
212555403,535826771783192600,2014-11-26 11:37:12-05,2,59751,2731
212555404,535826771783192600,2014-11-26 12:07:12-05,4,59755,2552
212555405,535826771783192600,2014-11-26 12:37:12-05,0,59755,0
212555406,535826771783192600,2014-11-26 13:07:12-05,3,59758,2058
212555407,535826771783192600,2014-11-26 13:37:12-05,2,59760,1352
212555408,535826771783192600,2014-11-26 14:07:12-05,1,59761,583
212555409,535826771783192600,2014-11-26 14:37:12-05,1,59762,513
212555410,535826771783192600,2014-11-26 15:07:12-05,1,59763,655
212555411,535826771783192600,2014-11-26 15:37:12-05,3,59766,3998
212555412,535826771783192600,2014-11-26 16:07:12-05,3,59769,8294
212555413,535826771783192600,2014-11-26 16:37:12-05,3,59772,8805
212555414,535826771783192600,2014-11-26 17:07:12-05,4,59776,398
212555415,535826771783192600,2014-11-26 17:37:12-05,2,59778,542
212555416,535826771783192600,2014-11-26 18:07:12-05,2,59780,2151
212555417,535826771783192600,2014-11-26 18:37:12-05,0,59780,0
212555418,535826771783192600,2014-11-26 19:07:12-05,3,59783,1812
212555419,535826771783192600,2014-11-26 19:37:12-05,3,59786,5787
212555420,535826771783192600,2014-11-26 20:07:12-05,1,59787,1347
212555421,535826771783192600,2014-11-26 20:37:12-05,1,59788,355
212555422,535826771783192600,2014-11-26 21:07:12-05,2,59790,1050
212555423,535826771783192600,2014-11-26 21:37:12-05,0,59790,0
212555424,535826771783192600,2014-11-26 22:07:12-05,4,59794,13101
212555425,535826771783192600,2014-11-26 22:37:12-05,1,59795,226
212555426,535826771783192600,2014-11-26 23:07:12-05,3,59798,8897
212555427,535826771783192600,2014-11-26 23:37:12-05,0,59798,0
212555428,535826771783192600,2014-11-27 00:07:12-05,1,59799,256
212555429,535826771783192600,2014-11-27 00:37:12-05,3,59802,230
212555430,535826771783192600,2014-11-27 01:07:12-05,0,59802,0
212555431,535826771783192600,2014-11-27 01:37:12-05,1,59803,655
212555432,535826771783192600,2014-11-27 02:07:12-05,0,59803,0
212555433,535826771783192600,2014-11-27 02:37:12-05,0,59803,0
212555434,535826771783192600,2014-11-27 03:07:12-05,1,59804,11
212555435,535826771783192600,2014-11-27 03:37:12-05,0,59804,0
212555436,535826771783192600,2014-11-27 04:07:12-05,0,59804,0
212555437,535826771783192600,2014-11-27 04:37:12-05,0,59804,0
212555438,535826771783192600,2014-11-27 05:07:12-05,2,59806,550
212555439,535826771783192600,2014-11-27 05:37:12-05,1,59807,140
212555440,535826771783192600,2014-11-27 06:07:12-05,1,59808,531
212555441,535826771783192600,2014-11-27 06:37:12-05,2,59810,294
212555442,535826771783192600,2014-11-27 07:07:12-05,2,59812,476
212555443,535826771783192600,2014-11-27 07:37:12-05,1,59813,3173
212555444,535826771783192600,2014-11-27 08:07:12-05,2,59815,439
212555445,535826771783192600,2014-11-27 08:37:12-05,1,59816,2929
212555446,535826771783192600,2014-11-27 09:07:12-05,0,59816,0
212555447,535826771783192600,2014-11-27 09:37:12-05,1,59817,181
212555448,535826771783192600,2014-11-27 10:07:12-05,1,59818,267
212555449,535826771783192600,2014-11-27 10:37:12-05,3,59821,310
212555450,535826771783192600,2014-11-27 11:07:12-05,0,59821,0
212555451,535826771783192600,2014-11-27 11:37:12-05,0,59821,0
212555452,535826771783192600,2014-11-27 12:07:12-05,3,59824,848
212555453,535826771783192600,2014-11-27 12:37:12-05,3,59827,1996
212555454,535826771783192600,2014-11-27 13:07:12-05,2,59829,1338
212555455,535826771783192600,2014-11-27 13:37:12-05,2,59831,13541
212555456,535826771783192600,2014-11-27 14:07:12-05,5,59836,5056
212555457,535826771783192600,2014-11-27 14:37:12-05,3,59839,493
212555458,535826771783192600,2014-11-27 15:07:12-05,2,59841,5221
212555459,535826771783192600,2014-11-27 15:37:12-05,4,59845,431
212555460,535826771783192600,2014-11-27 16:07:12-05,3,59848,14047
212555461,535826771783192600,2014-11-27 16:37:12-05,0,59848,0
212555462,535826771783192600,2014-11-27 17:07:12-05,3,59851,1506
212555463,535826771783192600,2014-11-27 17:37:12-05,0,59851,0
212555464,535826771783192600,2014-11-27 18:07:12-05,2,59853,1498
212555465,535826771783192600,2014-11-27 18:37:12-05,1,59854,6914
212555466,535826771783192600,2014-11-27 19:07:12-05,1,59855,3593
212555467,535826771783192600,2014-11-27 19:37:12-05,1,59856,4708
212555468,535826771783192600,2014-11-27 20:07:12-05,1,59857,637
212555469,535826771783192600,2014-11-27 20:37:12-05,0,59857,0
212555470,535826771783192600,2014-11-27 21:07:12-05,3,59860,8588
212555471,535826771783192600,2014-11-27 21:37:12-05,1,59861,5788
212555472,535826771783192600,2014-11-27 22:07:12-05,1,59862,4676
212555473,535826771783192600,2014-11-27 22:37:12-05,0,59862,0
212555474,535826771783192600,2014-11-27 23:07:12-05,0,59862,0
212555475,535826771783192600,2014-11-27 23:37:12-05,2,59864,1168
212555476,535826771783192600,2014-11-28 00:07:12-05,0,59864,0
212555477,535826771783192600,2014-11-28 00:37:12-05,0,59864,0
212555478,535826771783192600,2014-11-28 01:07:12-05,1,59865,55
212555479,535826771783192600,2014-11-28 01:37:12-05,0,59865,0
212555480,535826771783192600,2014-11-28 02:07:12-05,1,59866,394
212555481,535826771783192600,2014-11-28 02:37:12-05,3,59869,3147
212555482,535826771783192600,2014-11-28 03:07:12-05,1,59870,3442
212555483,535826771783192600,2014-11-28 03:37:12-05,1,59871,78
212555484,535826771783192600,2014-11-28 04:07:12-05,2,59873,942
212555485,535826771783192600,2014-11-28 04:37:12-05,0,59873,0
212555486,535826771783192600,2014-11-28 05:07:12-05,0,59873,0
212555487,535826771783192600,2014-11-28 05:37:12-05,0,59873,0
212555488,535826771783192600,2014-11-28 06:07:12-05,1,59874,85
212555489,535826771783192600,2014-11-28 06:37:12-05,4,59878,3814
212555490,535826771783192600,2014-11-28 07:07:12-05,2,59880,554
212555491,535826771783192600,2014-11-28 07:37:12-05,0,59880,0
212555492,535826771783192600,2014-11-28 08:07:12-05,2,59882,211
212555493,535826771783192600,2014-11-28 08:37:12-05,0,59882,0
212555494,535826771783192600,2014-11-28 09:07:12-05,2,59884,971
212555495,535826771783192600,2014-11-28 09:37:12-05,2,59886,442
212555496,535826771783192600,2014-11-28 10:07:12-05,0,59886,0
212555497,535826771783192600,2014-11-28 10:37:12-05,2,59888,7372
212555498,535826771783192600,2014-11-28 11:07:12-05,3,59891,3813
212555499,535826771783192600,2014-11-28 11:37:12-05,7,59898,15717
212555500,535826771783192600,2014-11-28 12:07:12-05,3,59901,6786
212555501,535826771783192600,2014-11-28 12:37:12-05,0,59901,0
212555502,535826771783192600,2014-11-28 13:07:12-05,2,59903,492
212555503,535826771783192600,2014-11-28 13:37:12-05,0,59903,0
212555504,535826771783192600,2014-11-28 14:07:12-05,1,59904,176
212555505,535826771783192600,2014-11-28 14:37:12-05,0,59904,0
212555506,535826771783192600,2014-11-28 15:07:12-05,0,59904,0
212555507,535826771783192600,2014-11-28 15:37:12-05,2,59906,1520
212555508,535826771783192600,2014-11-28 16:07:12-05,0,59906,0
212555509,535826771783192600,2014-11-28 16:37:12-05,3,59909,3373
212555510,535826771783192600,2014-11-28 17:07:12-05,2,59911,1084
212555511,535826771783192600,2014-11-28 17:37:12-05,1,59912,921
212555512,535826771783192600,2014-11-28 18:07:12-05,3,59915,1454
212555513,535826771783192600,2014-11-28 18:37:12-05,1,59916,407
212555514,535826771783192600,2014-11-28 19:07:12-05,1,59917,6191
212555515,535826771783192600,2014-11-28 19:37:12-05,1,59918,793
212555516,535826771783192600,2014-11-28 20:07:12-05,1,59919,3131
212555517,535826771783192600,2014-11-28 20:37:12-05,1,59920,19074
212555518,535826771783192600,2014-11-28 21:07:12-05,0,59920,0
212555519,535826771783192600,2014-11-28 21:37:12-05,0,59920,0
212555520,535826771783192600,2014-11-28 22:07:12-05,2,59922,581
212555521,535826771783192600,2014-11-28 22:37:12-05,1,59923,444
212555522,535826771783192600,2014-11-28 23:07:12-05,1,59924,587
212555523,535826771783192600,2014-11-28 23:37:12-05,0,59924,0
212555524,535826771783192600,2014-11-29 00:07:12-05,1,59925,85
212555525,535826771783192600,2014-11-29 00:37:12-05,0,59925,0
212555526,535826771783192600,2014-11-29 01:07:12-05,0,59925,0
212555527,535826771783192600,2014-11-29 01:37:12-05,0,59925,0
212555528,535826771783192600,2014-11-29 02:07:12-05,1,59926,2140
212555529,535826771783192600,2014-11-29 02:37:12-05,0,59926,0
212555530,535826771783192600,2014-11-29 03:07:12-05,0,59926,0
212555531,535826771783192600,2014-11-29 03:37:12-05,0,59926,0
212555532,535826771783192600,2014-11-29 04:07:12-05,0,59926,0
212555533,535826771783192600,2014-11-29 04:37:12-05,1,59927,169
212555534,535826771783192600,2014-11-29 05:07:12-05,0,59927,0
212555535,535826771783192600,2014-11-29 05:37:12-05,3,59930,4325
212555536,535826771783192600,2014-11-29 06:07:12-05,3,59933,6730
212555537,535826771783192600,2014-11-29 06:37:12-05,0,59933,0
212555538,535826771783192600,2014-11-29 07:07:12-05,1,59934,2661
212555539,535826771783192600,2014-11-29 07:37:12-05,0,59934,0
212555540,535826771783192600,2014-11-29 08:07:12-05,1,59935,184
212555541,535826771783192600,2014-11-29 08:37:12-05,1,59936,432
212555542,535826771783192600,2014-11-29 09:07:12-05,0,59936,0
212555543,535826771783192600,2014-11-29 09:37:12-05,2,59938,2141
